date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:15:49	102/102	---M-Z	200	added ('OK')	text/plain	etag:%225b120351e461837ea52aef5586ccea2f%22	https://david-harrison.framer.website/robots.txt		(from )
21:15:50	208536/208536	---M-Z	200	added ('OK')	text/html	etag:%22bbaa8a0867842f0c4b104d0b21545b96%22	https://david-harrison.framer.website/	C:/My%20Web%20Sites/web/david-harrison.framer.website/index.html	(from )
21:15:51	718/718	---MC-	200	added ('OK')	image/png	etag:%220d11aaaa8bc4e69159d79050dff66d12%22	https://framerusercontent.com/images/aImhIAnlFkDrtikTJgdKHdqy6dM.png	C:/My%20Web%20Sites/web/framerusercontent.com/images/aImhIAnlFkDrtikTJgdKHdqy6dM.png	(from https://david-harrison.framer.website/)
21:15:52	7382/7382	---MC-	200	added ('OK')	image/png	etag:%223922c7eb58c4d2afc6e82943f6d4a129%22	https://framerusercontent.com/images/Ae2tjOL3VGlqjJRRHkUCi0OE.png	C:/My%20Web%20Sites/web/framerusercontent.com/images/Ae2tjOL3VGlqjJRRHkUCi0OE.png	(from https://david-harrison.framer.website/)
21:15:53	776429/776429	---M--	200	added ('OK')	image/jpeg	etag:%22e4527469fadf190504ed4dec4a4fbbf8%22	https://framerusercontent.com/assets/f4sC0bRwLRCBAPfiMGSBYOqCvYw.jpg	C:/My%20Web%20Sites/web/framerusercontent.com/assets/f4sC0bRwLRCBAPfiMGSBYOqCvYw.jpg	(from https://david-harrison.framer.website/)
21:15:53	205872/205872	---M-Z	200	added ('OK')	text/html	etag:%22ee3d7a3651f37088808cc635f3d34edd%22	https://david-harrison.framer.website/about	C:/My%20Web%20Sites/web/david-harrison.framer.website/about.html	(from https://david-harrison.framer.website/)
21:15:53	221005/221005	---M-Z	200	added ('OK')	text/html	etag:%2207a705042f3f301a71b8c9bfe108ff0f%22	https://david-harrison.framer.website/portfolio	C:/My%20Web%20Sites/web/david-harrison.framer.website/portfolio.html	(from https://david-harrison.framer.website/)
21:15:54	351189/351189	---M-Z	200	added ('OK')	text/html	etag:%22eb1e9219aba168324054f340358ca1cc%22	https://david-harrison.framer.website/services	C:/My%20Web%20Sites/web/david-harrison.framer.website/services.html	(from https://david-harrison.framer.website/)
21:15:54	239005/239005	---M-Z	200	added ('OK')	text/html	etag:%22b4990a7341915c4ec2e2972086b50111%22	https://david-harrison.framer.website/contact	C:/My%20Web%20Sites/web/david-harrison.framer.website/contact.html	(from https://david-harrison.framer.website/)
21:15:55	7093/7093	---MC-	200	added ('OK')	image/png	etag:%221815680023e90a8ec701ea7bdfebe24c%22	https://framerusercontent.com/images/ixy9yMJqk6RPPwXy0Uz4WYSdE.png	C:/My%20Web%20Sites/web/framerusercontent.com/images/ixy9yMJqk6RPPwXy0Uz4WYSdE.png	(from https://david-harrison.framer.website/)
21:15:55	22927/22927	---MC-	200	added ('OK')	image/png	etag:%229fc151d4056f88b1dddf17b0d20dff98%22	https://framerusercontent.com/images/rR6HYXBrMmX4cRpXfXUOvpvpB0.png	C:/My%20Web%20Sites/web/framerusercontent.com/images/rR6HYXBrMmX4cRpXfXUOvpvpB0.png	(from https://david-harrison.framer.website/)
21:15:57	7931/7931	---MC-	200	added ('OK')	image/png	etag:%22c285b06261a51221c99062f7e4302feb%22	https://framerusercontent.com/images/80lun4W6Nudyd1z4ANNywsZL0w.png	C:/My%20Web%20Sites/web/framerusercontent.com/images/80lun4W6Nudyd1z4ANNywsZL0w.png	(from https://david-harrison.framer.website/about)
21:15:57	869253/869253	---M--	200	added ('OK')	image/jpeg	etag:%22071d20d77c39f95eaf50278d40fcabbc%22	https://framerusercontent.com/assets/NDi1pYPcWfmpfWxHNxcYynj3PU.jpg	C:/My%20Web%20Sites/web/framerusercontent.com/assets/NDi1pYPcWfmpfWxHNxcYynj3PU.jpg	(from https://david-harrison.framer.website/about)
21:15:58	163498/163498	---M-Z	200	added ('OK')	text/html	etag:%22618519ab6bf03ed95053b968fb3fc2e8%22	https://david-harrison.framer.website/portfolio/rick-brown	C:/My%20Web%20Sites/web/david-harrison.framer.website/portfolio/rick-brown.html	(from https://david-harrison.framer.website/portfolio)
21:15:59	838127/838127	---M--	200	added ('OK')	image/jpeg	etag:%2240c610945ce1c23b1ca5891a8ddec125%22	https://framerusercontent.com/assets/5D4MO618qSri9X5uKr7sia4eMeM.jpg	C:/My%20Web%20Sites/web/framerusercontent.com/assets/5D4MO618qSri9X5uKr7sia4eMeM.jpg	(from https://david-harrison.framer.website/portfolio)
